id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
163389,2004,1,2004,2004,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,AFP 16/9,,,,Capt. Candra Purnama,4,Aceh Province,Aceh Province,,5.55,95.316667,POINT (95.316667 5.550000),138071,Indonesia,850,IDN,Asia,1,1,2004-09-14,2004-09-14,0,3,0,0,3,3,3
141597,1999,1,1999,1999,2,4929,"Dayak, Malay (Indonesia) - Madurese",5539,"Dayak, Malay (Indonesia) - Madurese",3825,,"Dayak, Malay (Indonesia)",820,,Madurese,-1,"Reuters, 1999-03-21, FOCUS-Ethnic groups burn homes in Borneo. 1999-03-21, Death Toll Rises to 96 in Indonesia's Sambas Violence",,,,"eye witnesses, Reuters reporters, local sources, police",3,Sambas Regency,Kalimantan Barat Province,Sambas Regency,1.32,109.32,POINT (109.320000 1.320000),131619,Indonesia,850,IDN,Asia,1,2,1999-03-16,1999-03-21,0,0,0,17,17,17,32
141598,1999,1,1999,1999,2,4929,"Dayak, Malay (Indonesia) - Madurese",5539,"Dayak, Malay (Indonesia) - Madurese",3825,,"Dayak, Malay (Indonesia)",820,,Madurese,-1,"Reuters, 1999-03-23, FOCUS-Indonesia sends troops to Borneo.",,,,officials,3,Sambas Regency,Kalimantan Barat Province,Sambas Regency,1.32,109.32,POINT (109.320000 1.320000),131619,Indonesia,850,IDN,Asia,2,4,1999-03-16,1999-03-23,0,0,0,51,51,51,51
141620,1999,1,1999,1999,2,4929,"Dayak, Malay (Indonesia) - Madurese",5539,"Dayak, Malay (Indonesia) - Madurese",3825,,"Dayak, Malay (Indonesia)",820,,Madurese,-1,"BBC Monitoring Asia-Pacific, 1999-03-23, Mobs brutally attack refugees in West Kalimantan, Reuters, 1999-05-23, Indonesia army head goes to Borneo as toll mounts.",,,,officials,3,Sambas Regency,Kalimantan Barat Province,Sambas Regency,1.32,109.32,POINT (109.320000 1.320000),131619,Indonesia,850,IDN,Asia,2,4,1999-03-16,1999-03-25,0,0,0,0,0,0,11
141570,2000,1,2000,2000,2,4903,Christians (Indonesia) - Muslims (Indonesia),5513,Christians (Indonesia) - Muslims (Indonesia),860,,Christians (Indonesia),861,,Muslims (Indonesia),-1,R 4/28/2000 UPDATE 1-Indonesia boosts port security over jihad threat,,,,,1,Ambon town,Maluku Province,Kota Ambon,-3.705,128.17,POINT (128.170000 -3.705000),124457,Indonesia,850,IDN,Asia,1,2,2000-04-26,2000-04-27,0,0,0,7,7,7,7
141575,2000,1,2000,2000,2,4903,Christians (Indonesia) - Muslims (Indonesia),5513,Christians (Indonesia) - Muslims (Indonesia),860,,Christians (Indonesia),861,,Muslims (Indonesia),-1,AP 5/26/2000 34 killed in fresh religious violence in eastern Indonesia,,,,,4,Maluku Utara Province,Maluku Utara Province,,0.783333,127.366667,POINT (127.366667 0.783333),130935,Indonesia,850,IDN,Asia,1,2,2000-05-25,2000-05-26,26,7,0,1,34,34,34
141523,1999,1,1999,1999,2,4903,Christians (Indonesia) - Muslims (Indonesia),5513,Christians (Indonesia) - Muslims (Indonesia),860,,Christians (Indonesia),861,,Muslims (Indonesia),-1,R 2/15/1999 Troops guard Indonesia spice island after multiple deaths.,,,,,2,Haruku island,Maluku Province,Central Maluku Regency,-3.567,128.483,POINT (128.483000 -3.567000),124457,Indonesia,850,IDN,Asia,1,2,1999-02-13,1999-02-14,0,0,0,15,15,15,15
141928,1998,1,1998,1998,3,493,Government of Indonesia - Civilians,960,Government of Indonesia - Civilians,155,850.0,Government of Indonesia,1,,Civilians,1,"""Allard K. Lowenstein International Human Rights Clinic Yale Law School ,2004-04-01,Indonesian Human Rights Abuses in West Papua: Application of the Law of Genocide to the History of Indonesian Control""",Allard K. Lowenstein International Human Rights Clinic Yale Law School ,2004-04-01,Indonesian Human Rights Abuses in West Papua: Application of the Law of Genocide to the History of Indonesian Control,coalition of Indonesian NGOs,2,Biak island,Irian Jaya Province,,-1.038102,135.98008,POINT (135.980080 -1.038102),128072,Indonesia,850,IDN,Asia,1,2,1998-07-04,1998-07-07,0,0,7,0,0,7,7
141816,1998,1,1998,1998,1,330,Indonesia: East Timor,720,Government of Indonesia - CNRT,155,850.0,Government of Indonesia,290,,CNRT,-1,"BBC, 1998-10-08, 13 killed in fighting between Indonesian troops and guerrillas; BBC, 1998-10-09, about 30 Indonesian troops killed in clashes in the east.",,,,"two independent rebel sources, rebel leaders",1,Cairui village,Timor Timur Province,Manatuto Regency,-8.6167,126.15,POINT (126.150000 -8.616700),117253,Indonesia,850,IDN,Asia,1,2,1998-10-06,1998-10-09,12,1,0,0,1,13,31
