,United Arab Emirates,Australia,Austria,Belgium,Bulgaria,Bahrain,Bosnia and Herzegovina,Brazil,Canada,Switzerland,Chile,China,Colombia,Czech Republic,Germany,Denmark,"Egypt, Arab Rep.",Spain,Estonia,Finland,France,United Kingdom,Greece,"Hong Kong SAR, China",Croatia,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,Kenya,"Korea, Rep.",Kuwait,Lebanon,Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,Mexico,"Macedonia, FYR",Malta,Malawi,Malaysia,Nigeria,Netherlands,Norway,New Zealand,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Singapore,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Uganda,Ukraine,United States,"Venezuela, RB",Vietnam,South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,NA,30.7707,51.77353,NA,NA,NA,NA,NA,29.7112,24.63192,NA,NA,NA,NA,NA,NA,NA,21.52078,NA,NA,42.86647,39.46679,NA,14.15917,NA,NA,NA,5.64397,NA,NA,NA,NA,NA,NA,276.4568,NA,NA,NA,NA,NA,9.5094,NA,NA,NA,NA,1.772071,NA,NA,NA,NA,NA,36.40841,NA,NA,NA,NA,0.068906,NA,NA,NA,NA,NA,NA,NA,48.6665,NA,NA,21.25424,NA,NA,0.074382,NA,NA,NA,25.58378,NA,NA,NA
1991,NA,31.01838,41.96997,45.05209,NA,NA,NA,NA,29.67802,25.02586,NA,NA,NA,NA,NA,NA,NA,21.59669,NA,NA,40.50405,42.90117,NA,17.72319,NA,4.536589,NA,8.530416,NA,NA,NA,NA,NA,18.01514,227.9034,NA,NA,NA,NA,NA,15.55698,NA,NA,NA,NA,3.304045,NA,NA,NA,NA,NA,37.4558,NA,NA,NA,NA,0.318501,NA,NA,NA,NA,NA,NA,NA,49.94739,NA,NA,19.60517,NA,NA,0.068494,NA,NA,NA,27.97504,NA,NA,NA
1992,NA,32.28838,34.07963,45.84892,NA,NA,NA,NA,29.21942,28.33832,NA,NA,NA,NA,NA,NA,NA,18.9986,NA,NA,41.85244,44.24738,NA,25.56257,NA,4.045362,NA,17.21718,NA,NA,NA,NA,NA,19.71704,170.4965,NA,NA,NA,NA,NA,21.04076,NA,NA,NA,NA,5.158193,NA,NA,NA,NA,NA,39.23709,NA,NA,NA,NA,1.040519,NA,NA,35.53144,NA,NA,NA,NA,50.29373,NA,NA,16.72348,NA,NA,0.073035,NA,NA,NA,31.36492,NA,NA,NA
1993,NA,37.17844,34.63694,50.97052,NA,NA,NA,NA,33.07163,36.26314,NA,NA,NA,42.64626,NA,NA,NA,21.79388,NA,NA,46.54971,52.6751,NA,34.66111,NA,4.216147,NA,14.80924,NA,NA,NA,NA,NA,27.12705,179.0249,NA,NA,NA,NA,NA,19.26068,NA,NA,NA,NA,5.721158,NA,NA,NA,NA,NA,45.40171,NA,NA,NA,NA,4.314413,NA,NA,42.40833,NA,NA,NA,NA,65.29774,NA,NA,21.8339,NA,NA,0.190682,NA,NA,NA,33.63554,NA,NA,NA
1994,NA,42.4885,42.14428,57.68867,NA,NA,NA,4.561994,36.68019,41.46135,NA,NA,NA,67.38285,NA,NA,NA,25.81675,NA,NA,49.35661,56.88595,NA,44.57128,NA,7.421985,NA,23.57759,NA,NA,NA,NA,NA,27.65128,186.8235,NA,NA,NA,NA,NA,30.92801,NA,NA,NA,NA,7.818644,NA,NA,NA,NA,NA,55.51261,NA,NA,NA,NA,7.988811,NA,39.43754,52.09446,NA,NA,NA,23.40379,79.28521,NA,NA,27.7553,NA,NA,0.397535,77.16811,NA,NA,36.2304,NA,NA,NA
1995,NA,41.89403,37.96797,56.59466,NA,NA,NA,5.678756,37.95398,43.25561,NA,NA,NA,37.05506,NA,31.6234,NA,24.22523,NA,28.9727,44.31505,59.52023,41.62914,42.01247,NA,6.412822,18.04764,19.46978,65.82189,NA,NA,NA,NA,27.51213,162.7832,NA,NA,NA,NA,NA,21.40242,NA,NA,NA,NA,6.883634,NA,26.57128,NA,76.39445,NA,59.25877,NA,NA,NA,NA,8.625933,NA,32.00418,47.44354,NA,NA,5.344315,20.37793,73.97088,NA,NA,30.93487,177.7473,NA,0.769377,68.89827,NA,NA,42.91526,NA,NA,NA
1996,NA,46.76944,41.2498,69.18068,NA,NA,NA,8.548834,44.80248,55.27797,NA,NA,NA,44.04965,43.85735,35.80655,NA,29.56574,NA,30.87248,50.45749,68.46351,43.88823,53.62465,NA,13.42713,22.36281,19.58883,82.06062,NA,NA,NA,NA,26.55348,197.6919,NA,NA,NA,NA,NA,17.6182,NA,NA,NA,NA,9.918278,NA,26.44815,NA,87.93231,NA,75.11963,34.64696,NA,NA,NA,9.048309,100.3276,53.71965,54.20208,NA,NA,9.272274,21.61922,79.11767,NA,NA,37.80416,160.5735,NA,1.255012,73.72872,NA,NA,54.8444,NA,NA,NA
1997,NA,52.52276,49.58121,91.0867,NA,NA,NA,15.0849,55.54253,79.5843,NA,NA,NA,44.91939,63.38971,50.97036,NA,45.16824,NA,48.44647,65.14945,80.77776,69.30742,62.49184,49.18573,29.43477,23.17411,22.03759,110.9505,14.12828,NA,26.51846,105.4971,29.22669,172.255,NA,NA,NA,NA,NA,20.50314,NA,NA,NA,NA,13.77483,NA,28.50522,NA,75.89954,30.78871,112.2354,47.68047,NA,NA,NA,12.26931,85.23355,66.18521,85.5525,NA,NA,25.71776,27.61552,68.63517,72.96866,NA,55.3546,82.20776,NA,3.726308,103.4971,NA,13.26857,71.06273,16.40626,NA,NA
1998,NA,54.98296,51.29708,123.4229,NA,NA,NA,13.51706,58.24352,108.2671,NA,NA,NA,37.22491,85.63223,59.31206,NA,66.26335,NA,68.60152,85.18939,94.88749,102.3375,44.08102,37.16765,31.78637,15.96788,19.36541,156.4671,13.70057,NA,27.38412,137.9907,30.74338,144.0665,NA,NA,NA,NA,NA,17.50833,NA,NA,NA,NA,13.3926,NA,30.05396,NA,40.14057,27.26126,147.5309,45.84609,NA,NA,NA,10.3777,59.09967,61.64606,136.3374,NA,NA,12.10253,26.86058,43.90684,49.70247,NA,65.24015,48.66261,NA,5.969699,95.553,NA,6.668523,82.37348,9.2514,NA,NA
